short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,0,5,0,1,3,7,7,2,3,0,0,1
6,翁梓勻,攔中,1,10,2,0,9,0,0,2,2,0,0,3
7,林書荷,長攻,20,49,0,1,25,2,5,21,27,0,1,21
9,甘可慧,攔中,8,31,1,0,16,0,0,5,14,0,0,9
10,POLINA,長攻,3,7,0,0,2,0,0,1,1,0,0,3
11,BIA,對角,23,41,0,1,15,0,3,10,28,0,0,24
12,廖苡任,舉球,2,3,0,1,12,0,0,6,17,45,124,3
23,陳莉鎔,舉球,1,3,0,0,0,0,0,5,5,2,12,1
24,王育文,攔中,2,3,0,0,4,0,0,1,4,0,0,2
69,陳潔,對角,0,0,0,0,0,0,0,0,0,0,0,0
77,吳芳妤,長攻,17,38,1,0,10,23,40,8,17,0,0,18
79,丁佩瑩,自由,0,0,0,0,0,9,17,9,13,0,0,0
88,陳佳蔓,舉球,0,0,0,0,1,0,0,0,2,4,16,0
99,邱詩晴,自由,0,0,0,0,0,3,12,9,12,0,0,0
1,李貝兒,長攻,16,42,0,0,13,21,38,10,19,0,0,16
5,葉于雯,攔中,15,27,1,0,10,2,2,4,8,0,0,16
6,童琦芳,長攻,0,1,0,0,4,1,2,3,5,0,0,0
7,謝靖瑩,舉球,0,0,0,0,5,0,0,4,17,19,54,0
8,MIRA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,張芷瑄,自由,0,1,0,0,0,0,0,0,0,0,0,0
11,張稦豈,對角,5,20,1,2,14,0,0,4,8,0,0,8
13,YULIA,攔中,4,11,4,0,15,0,2,2,8,0,0,8
15,李子嫣,攔中,0,0,0,0,0,0,0,0,0,0,0,0
18,龔詩雯,長攻,13,46,1,1,13,15,26,2,5,0,0,15
19,陳亭汝,舉球,0,2,0,0,10,0,0,5,16,29,79,0
24,黃蔓亞,對角,5,13,0,1,4,1,1,1,5,0,0,6
33,BREE,長攻,0,0,0,0,0,0,0,0,0,0,0,0
76,林其蓉,自由,0,0,0,0,0,13,21,22,32,0,0,0
