short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,5,16,0,1,13,12,23,7,13,0,0,6
6,翁梓勻,攔中,1,3,0,0,4,0,0,0,1,0,0,1
7,林書荷,長攻,19,44,2,0,20,11,18,19,31,0,0,21
9,甘可慧,攔中,15,35,3,0,16,1,1,4,9,0,0,18
10,POLINA,長攻,3,7,0,0,6,0,0,1,4,0,0,3
11,BIA,對角,4,13,0,0,3,5,5,4,6,0,0,4
12,廖苡任,舉球,0,1,0,0,3,0,1,0,3,14,36,0
23,陳莉鎔,舉球,4,11,0,1,7,0,0,6,10,45,112,5
24,王育文,攔中,10,22,0,0,15,0,1,5,10,0,0,10
69,陳潔,對角,11,20,0,1,16,6,14,14,21,0,0,12
77,吳芳妤,長攻,8,28,0,0,6,12,17,7,14,0,0,8
79,丁佩瑩,自由,0,0,0,0,0,0,0,2,7,0,0,0
88,陳佳蔓,舉球,4,6,1,0,2,0,0,1,3,4,19,5
99,邱詩晴,自由,0,0,0,0,0,16,20,10,12,0,0,0
2,欒妤雯,舉球,0,2,0,2,25,0,0,7,12,43,118,2
5,陳怡如,攔中,6,10,1,1,15,0,0,1,5,0,0,8
6,高歆媛,長攻,0,1,0,0,0,0,2,0,0,0,0,0
7,楊怡真,舉球,0,0,0,0,1,0,0,3,4,13,33,0
9,蔡幼群,長攻,14,36,0,0,12,6,9,4,17,0,0,14
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,4,9,1,1,8,0,0,5,12,0,0,6
13,SANTOS,長攻,29,60,3,1,21,26,43,8,24,0,0,33
14,葉亮言,攔中,0,0,0,0,1,0,0,0,0,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,12,39,1,0,11,6,15,7,15,0,0,13
18,BLANCO,攔中,11,27,0,0,15,0,1,1,9,0,0,11
20,詹佳茵,自由,0,0,0,0,0,5,8,3,4,0,0,0
22,李怡萱,自由,0,0,0,0,0,18,27,28,31,0,0,0
