short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,3,12,0,0,8,7,23,4,9,0,0,3
6,翁梓勻,攔中,4,6,0,0,20,0,0,3,5,0,0,4
7,林書荷,長攻,19,54,3,1,17,7,17,13,26,0,0,23
9,甘可慧,攔中,17,49,2,1,12,0,0,4,15,0,0,20
10,POLINA,長攻,3,12,0,0,4,0,0,0,5,0,0,3
11,BIA,對角,0,0,0,0,0,0,0,0,0,0,0,0
12,廖苡任,舉球,0,2,1,0,13,0,1,3,11,48,154,1
23,陳莉鎔,舉球,1,1,0,0,3,0,0,0,5,5,17,1
24,王育文,攔中,1,7,0,0,6,0,0,1,2,0,0,1
69,陳潔,對角,12,31,0,0,10,5,21,4,22,0,0,12
77,吳芳妤,長攻,11,28,1,0,14,6,26,4,17,0,0,12
79,丁佩瑩,自由,0,0,0,0,0,0,1,0,2,0,0,0
88,陳佳蔓,舉球,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,1,3,14,9,20,0,0,0
1,李貝兒,長攻,20,56,1,2,19,9,50,4,18,0,0,23
5,葉于雯,攔中,12,27,2,0,16,0,2,0,5,0,0,14
6,童琦芳,長攻,0,0,0,0,5,3,6,2,2,0,0,0
7,謝靖瑩,舉球,0,0,0,0,3,0,0,2,5,4,11,0
8,MIRA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,張芷瑄,自由,0,0,0,0,0,0,0,0,0,0,0,0
11,張稦豈,對角,10,42,0,0,19,0,0,11,21,0,0,10
13,YULIA,攔中,6,13,1,0,13,1,3,1,6,0,0,7
15,李子嫣,攔中,0,0,0,0,0,0,0,0,0,0,0,0
18,龔詩雯,長攻,24,46,0,1,15,2,21,7,25,0,0,25
19,陳亭汝,舉球,1,4,1,1,16,0,0,1,24,58,147,3
24,黃蔓亞,對角,3,9,0,0,1,0,0,0,0,0,0,3
33,BREE,長攻,0,0,0,0,0,0,0,0,0,0,0,0
76,林其蓉,自由,0,0,0,0,0,4,15,12,37,0,0,0
