short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,1,5,0,0,2,1,12,0,3,0,0,1
6,翁梓勻,攔中,2,7,0,0,5,0,2,0,5,0,0,2
7,林書荷,長攻,11,27,3,0,5,3,11,0,5,0,0,14
9,甘可慧,攔中,8,22,1,0,16,0,2,0,10,0,0,9
10,POLINA,長攻,5,17,0,1,5,0,0,0,5,0,0,6
11,BIA,對角,12,28,1,0,13,1,20,0,8,0,0,13
12,廖苡任,舉球,0,0,0,0,6,0,0,0,10,3,73,0
23,陳莉鎔,舉球,0,2,1,0,1,0,0,0,2,4,14,1
24,王育文,攔中,2,6,0,0,5,0,0,0,1,0,0,2
69,陳潔,對角,0,6,0,0,3,3,14,0,5,0,0,0
77,吳芳妤,長攻,3,13,0,1,9,4,9,1,7,0,0,4
79,丁佩瑩,自由,0,0,0,0,0,0,2,0,13,0,0,0
88,陳佳蔓,舉球,3,8,0,0,4,0,0,0,4,11,37,3
99,邱詩晴,自由,0,0,0,0,0,3,16,1,13,0,0,0
2,欒妤雯,舉球,1,1,0,1,21,0,0,0,14,23,102,2
5,陳怡如,攔中,5,9,3,0,13,0,0,0,4,0,0,8
6,高歆媛,長攻,0,0,0,0,1,0,0,0,0,0,0,0
7,楊怡真,舉球,0,0,0,0,0,0,0,0,0,0,0,0
9,蔡幼群,長攻,11,32,3,0,16,3,14,3,22,0,0,14
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,11,23,1,0,14,0,0,1,18,0,0,12
13,SANTOS,長攻,21,40,2,1,13,5,32,1,20,0,0,24
14,葉亮言,攔中,0,0,0,0,0,0,0,0,1,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,0,0,0,0,0,0,0,0,0,0,0,0
18,BLANCO,攔中,10,17,5,0,19,0,2,0,5,0,0,15
20,詹佳茵,自由,0,0,0,0,0,0,0,0,3,0,0,0
22,李怡萱,自由,0,0,0,0,0,5,20,1,9,0,0,0
