short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,5,16,0,0,7,7,12,1,2,0,0,5
6,翁梓勻,攔中,6,10,1,2,18,0,0,2,4,0,0,9
7,林書荷,長攻,0,0,0,0,0,0,0,0,0,0,0,0
9,甘可慧,攔中,10,16,1,1,9,0,0,0,3,0,0,12
10,POLINA,長攻,6,15,2,0,11,0,0,2,4,0,0,8
11,BIA,對角,8,20,3,0,7,2,6,9,15,0,0,11
12,廖苡任,舉球,1,1,0,1,5,0,0,3,5,14,39,2
23,陳莉鎔,舉球,1,1,0,0,3,0,0,3,4,4,11,1
24,王育文,攔中,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,1,7,0,0,5,2,3,2,3,0,0,1
77,吳芳妤,長攻,1,13,0,0,3,7,8,7,10,0,0,1
79,丁佩瑩,自由,0,0,0,0,0,0,0,4,8,0,0,0
88,陳佳蔓,舉球,0,0,0,0,4,0,0,0,5,13,28,0
99,邱詩晴,自由,0,0,0,0,0,8,12,8,16,0,0,0
2,陳彥臻,自由,0,0,0,0,0,3,4,7,10,0,0,0
3,許芳閩,對角,15,44,1,0,9,1,1,10,15,0,0,16
4,簡翊雯,對角,0,5,1,0,2,1,4,0,0,0,0,1
5,李思依,長攻,2,18,0,0,3,14,20,8,13,0,0,2
6,潘慧勳,長攻,9,36,0,0,8,8,29,5,11,0,0,9
7,陳思妤,長攻,0,0,0,0,0,0,2,0,0,0,0,0
8,吳文亘,攔中,3,9,0,1,10,0,1,1,8,0,0,4
9,江昀庭,自由,0,0,0,0,0,2,4,6,10,0,0,0
10,吳苡綾,攔中,0,2,0,0,2,1,1,0,3,0,0,0
11,吳沛緹,長攻,0,1,0,0,0,0,0,0,0,0,0,0
12,戴君芳,舉球,0,0,0,0,2,0,0,2,3,5,16,0
13,張芸甄,舉球,1,1,0,1,5,0,0,1,5,4,29,2
15,林采臻,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,包茵綺,攔中,2,8,0,0,6,1,1,2,3,0,0,2
18,江辰翊,舉球,0,1,0,0,5,0,0,1,3,12,63,0
