short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,5,14,0,0,4,5,14,2,5,0,0,5
6,翁梓勻,攔中,6,9,1,0,14,0,0,1,5,0,0,7
7,林書荷,長攻,9,22,0,1,9,2,8,7,12,0,0,10
9,甘可慧,攔中,11,19,0,0,8,0,0,0,4,0,0,11
10,POLINA,長攻,3,22,0,0,3,0,0,0,1,0,0,3
11,BIA,對角,3,11,0,1,13,1,3,4,10,0,0,4
12,廖苡任,舉球,1,2,0,0,3,0,0,1,7,12,22,1
23,陳莉鎔,舉球,1,2,1,1,10,0,0,0,1,8,35,3
24,王育文,攔中,0,1,0,0,0,0,0,1,2,0,0,0
69,陳潔,對角,2,7,0,0,3,2,5,3,10,0,0,2
77,吳芳妤,長攻,3,7,2,1,3,5,5,4,5,0,0,6
79,丁佩瑩,自由,0,0,0,0,0,0,0,6,16,0,0,0
88,陳佳蔓,舉球,0,0,0,2,4,0,0,0,4,10,31,2
99,邱詩晴,自由,0,0,0,0,0,5,7,4,9,0,0,0
2,陳彥臻,自由,0,0,0,0,0,6,13,7,14,0,0,0
3,許芳閩,對角,0,0,0,0,0,0,0,0,0,0,0,0
4,簡翊雯,對角,0,0,0,0,0,0,0,0,0,0,0,0
5,李思依,長攻,0,0,0,0,0,0,0,0,0,0,0,0
6,潘慧勳,長攻,0,0,0,0,0,0,0,0,0,0,0,0
7,陳思妤,長攻,12,48,1,0,4,12,29,1,16,0,0,13
8,吳文亘,攔中,0,0,0,0,0,0,0,0,0,0,0,0
9,江昀庭,自由,4,23,0,1,11,8,24,4,8,0,0,5
10,吳苡綾,攔中,4,13,0,0,7,0,1,0,2,0,0,4
11,吳沛緹,長攻,5,19,0,0,5,1,2,2,12,0,0,5
12,戴君芳,舉球,0,0,0,2,15,0,0,3,12,6,37,2
13,張芸甄,舉球,2,4,1,0,6,0,0,0,8,2,46,3
15,林采臻,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,包茵綺,攔中,0,0,0,0,0,0,0,0,0,0,0,0
18,江辰翊,舉球,0,0,0,0,0,0,0,0,0,0,0,0
