short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,0,2,0,0,0,0,0,0,0,0,0,0
5,林良黛,長攻,0,0,0,0,1,1,4,0,0,0,0,0
6,翁梓勻,攔中,6,18,1,1,9,0,0,1,6,0,0,8
7,林書荷,長攻,18,44,1,0,13,1,6,7,18,0,0,19
9,甘可慧,攔中,3,21,1,0,13,0,0,0,2,0,0,4
11,BIA,對角,0,0,0,0,0,0,0,0,0,1,2,0
12,廖苡任,舉球,1,1,1,0,12,1,1,1,18,29,114,2
22,陳莉鈞,長攻,3,16,0,0,9,2,7,1,6,0,0,3
23,陳莉鎔,舉球,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,1,12,1,0,10,0,6,4,8,0,0,2
77,吳芳妤,長攻,12,37,0,0,15,4,14,4,17,0,0,12
79,丁佩瑩,自由,0,0,0,0,0,12,42,3,11,0,0,0
88,陳佳蔓,舉球,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,0,2,3,3,10,0,0,0
1,胡曉佩,攔中,8,16,2,4,20,4,7,1,7,0,0,14
2,劉玉淳,舉球,0,0,0,0,1,0,0,0,2,7,14,0
3,曾琬羚,攔中,0,0,0,0,0,0,0,0,0,0,0,0
4,李諭,對角,0,12,1,0,5,0,1,0,8,0,0,1
5,郭覲儀,自由,0,0,0,0,0,8,11,17,33,0,0,0
6,陳姿雅,長攻,16,41,1,0,14,5,14,7,18,0,0,17
7,黃芯瑜,攔中,15,35,5,0,12,0,2,0,6,0,0,20
8,李姿瑩,長攻,4,12,0,0,9,2,5,3,8,0,0,4
10,許菀芸,自由,0,0,0,0,0,0,0,0,0,0,0,0
11,洪家瑤,舉球,0,2,1,0,8,0,1,1,14,28,112,1
12,彭𦀡媃,長攻,8,27,0,2,19,10,30,5,17,0,2,10
14,許惠瑩,長攻,0,0,0,0,0,0,0,0,0,0,0,0
16,廖嘉蓉,攔中,0,0,0,0,1,0,0,0,0,0,0,0
20,黃瀞萱,對角,4,14,1,0,6,0,0,1,2,0,0,5
