short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,1,3,0,0,0,0,0,1,1,0,0,1
5,林良黛,長攻,0,0,0,0,0,0,0,0,0,0,0,0
6,翁梓勻,攔中,10,19,1,1,12,0,0,4,5,0,0,12
7,林書荷,長攻,10,30,2,3,16,10,28,6,16,0,0,15
9,甘可慧,攔中,10,26,3,0,9,0,1,1,6,0,0,13
11,BIA,對角,7,27,0,2,12,0,1,7,17,0,0,9
12,廖苡任,舉球,3,4,1,0,15,0,0,6,16,19,118,4
22,陳莉鈞,長攻,1,4,0,0,0,0,3,0,0,0,0,1
23,陳莉鎔,舉球,0,0,0,0,2,0,0,0,1,0,10,0
24,王育文,攔中,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,0,0,0,0,1,0,0,0,0,0,0,0
77,吳芳妤,長攻,9,35,0,1,12,6,17,6,16,0,0,10
79,丁佩瑩,自由,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,0,8,18,21,29,0,0,0
1,李貝兒,長攻,11,39,0,1,14,13,28,7,27,0,0,12
5,葉于雯,攔中,5,13,0,0,9,0,2,3,5,0,0,5
6,童琦芳,長攻,0,0,0,0,0,0,1,0,2,0,0,0
7,謝靖瑩,舉球,0,0,0,0,1,0,0,0,3,0,15,0
8,MIRA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,張芷瑄,自由,0,0,0,0,0,0,0,0,0,0,0,0
11,張稦豈,對角,9,33,1,0,8,0,0,5,13,0,0,10
13,YULIA,攔中,2,4,1,0,7,0,0,0,4,0,0,3
15,李子嫣,攔中,3,7,0,0,4,0,1,1,1,0,0,3
18,龔詩雯,長攻,0,0,0,0,0,0,0,0,0,0,0,0
19,陳亭汝,舉球,0,0,1,1,15,0,0,4,17,7,86,2
24,黃蔓亞,對角,2,5,0,0,0,0,0,0,1,0,0,2
33,BREE,長攻,20,34,1,1,16,8,30,5,17,0,0,22
76,林其蓉,自由,0,0,0,0,0,5,13,13,21,0,0,0
