short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,0,0,0,0,0,0,0,0,0,0,0,0
5,林良黛,長攻,1,4,0,0,0,0,0,1,1,0,0,1
6,翁梓勻,攔中,7,20,0,0,11,0,0,0,4,0,0,7
7,林書荷,長攻,24,58,2,1,19,12,18,11,32,0,0,27
9,甘可慧,攔中,10,35,2,0,10,1,1,2,6,0,0,12
11,BIA,對角,0,0,0,0,0,0,0,0,0,0,0,0
12,廖苡任,舉球,0,1,1,0,14,0,1,3,17,21,169,1
22,陳莉鈞,長攻,0,0,0,0,2,0,0,0,0,0,0,0
23,陳莉鎔,舉球,0,0,0,0,0,0,0,0,0,0,10,0
24,王育文,攔中,2,8,0,0,2,0,0,0,1,0,0,2
69,陳潔,對角,10,31,0,0,23,8,17,15,23,0,0,10
77,吳芳妤,長攻,21,50,1,1,20,21,35,14,33,0,0,23
79,丁佩瑩,自由,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,0,16,22,26,43,0,0,0
1,胡曉佩,攔中,2,10,4,0,16,0,2,4,4,0,0,6
2,劉玉淳,舉球,2,7,1,1,12,1,1,10,25,18,125,4
3,曾琬羚,攔中,0,0,0,0,0,0,0,0,0,0,0,0
4,李諭,對角,0,0,0,0,0,0,0,0,0,0,0,0
5,郭覲儀,自由,0,0,0,0,0,0,0,0,0,0,0,0
6,陳姿雅,長攻,19,58,2,0,19,23,38,14,30,0,0,21
7,黃芯瑜,攔中,10,26,2,0,14,0,1,1,8,0,0,12
8,李姿瑩,長攻,8,32,0,0,8,2,8,2,10,0,0,8
10,許菀芸,自由,0,0,0,0,0,17,21,27,41,0,0,0
11,洪家瑤,舉球,0,0,0,0,4,0,0,1,6,2,32,0
12,彭𦀡媃,長攻,13,41,1,0,11,10,20,8,16,0,1,14
14,許惠瑩,長攻,0,0,0,0,0,0,0,0,0,0,0,0
16,廖嘉蓉,攔中,1,1,0,1,4,0,2,0,1,0,0,2
20,黃瀞萱,對角,12,32,0,2,15,0,0,4,18,0,0,14
