short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,0,0,0,0,0,0,0,0,0,0,0,0
5,林良黛,長攻,2,8,0,0,3,3,9,1,3,0,0,2
6,翁梓勻,攔中,3,10,1,0,8,0,0,2,4,0,0,4
7,林書荷,長攻,13,29,1,0,8,1,6,1,9,0,0,14
9,甘可慧,攔中,9,20,0,0,7,0,0,0,3,0,0,9
11,BIA,對角,0,0,0,0,0,0,0,0,0,0,0,0
12,廖苡任,舉球,0,0,0,0,6,0,0,0,15,11,76,0
22,陳莉鈞,長攻,0,16,0,0,5,2,6,5,8,0,0,0
23,陳莉鎔,舉球,0,1,0,0,0,0,0,0,2,2,16,0
24,王育文,攔中,0,2,0,0,2,0,0,0,1,0,0,0
69,陳潔,對角,2,12,0,0,4,4,9,3,8,0,0,2
77,吳芳妤,長攻,1,14,0,0,11,7,14,0,5,0,0,1
79,丁佩瑩,自由,0,0,0,0,0,8,22,10,15,0,0,0
99,邱詩晴,自由,0,0,0,0,0,2,4,1,2,0,0,0
2,欒妤雯,舉球,0,0,0,0,0,0,0,0,0,0,0,0
5,陳怡如,攔中,6,11,1,2,12,0,3,2,10,0,0,9
6,高歆媛,長攻,0,0,0,0,0,0,0,0,0,0,0,0
7,楊怡真,舉球,2,4,0,2,19,0,0,3,13,6,83,4
9,蔡幼群,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,10,25,0,1,8,0,1,4,15,0,0,11
13,SANTOS,長攻,13,36,0,1,9,15,26,4,17,0,0,14
14,葉亮言,攔中,0,0,0,0,0,0,0,0,0,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,7,25,0,3,11,6,11,8,17,0,0,10
18,BLANCO,攔中,7,15,1,1,14,0,0,0,8,0,0,9
20,詹佳茵,自由,0,0,0,0,0,0,0,0,0,0,0,0
22,李怡萱,自由,0,0,0,0,0,8,10,11,21,0,0,0
