short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,0,0,0,0,0,0,0,0,0,0,0,0
5,林良黛,長攻,1,11,0,0,6,5,11,1,5,0,1,1
6,翁梓勻,攔中,6,16,1,0,13,0,0,1,6,0,0,7
7,林書荷,長攻,10,36,1,0,11,5,14,2,13,0,0,11
9,甘可慧,攔中,16,27,5,0,10,0,0,0,8,0,0,21
11,BIA,對角,13,37,1,0,13,0,2,3,26,0,0,14
12,廖苡任,舉球,0,2,0,0,14,0,0,0,8,22,132,0
22,陳莉鈞,長攻,0,0,0,0,0,0,0,0,0,0,0,0
23,陳莉鎔,舉球,0,0,0,0,3,0,0,0,2,0,11,0
24,王育文,攔中,0,1,0,0,3,0,0,0,2,0,0,0
69,陳潔,對角,0,2,0,0,1,0,2,0,1,0,0,0
77,吳芳妤,長攻,7,47,1,1,18,15,26,5,16,0,0,9
79,丁佩瑩,自由,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,0,10,21,10,35,0,0,0
1,李貝兒,長攻,12,40,3,0,18,10,42,1,13,0,0,15
5,葉于雯,攔中,6,22,1,0,14,0,0,0,7,0,0,7
6,童琦芳,長攻,0,0,0,0,2,2,4,1,4,0,0,0
7,謝靖瑩,舉球,0,0,0,0,4,0,0,2,9,1,23,0
8,MIRA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,張芷瑄,自由,0,0,0,0,0,0,0,0,0,0,0,0
11,張稦豈,對角,9,39,0,0,14,0,2,1,9,0,0,9
13,YULIA,攔中,4,10,5,0,10,0,1,0,12,0,1,9
15,李子嫣,攔中,0,0,0,0,1,0,0,0,0,0,0,0
18,龔詩雯,長攻,0,0,0,0,0,0,0,0,0,0,0,0
19,陳亭汝,舉球,0,1,0,0,10,0,0,0,21,16,108,0
24,黃蔓亞,對角,4,13,1,0,0,0,0,0,1,0,0,5
33,BREE,長攻,10,43,0,0,11,4,14,1,10,0,0,10
76,林其蓉,自由,0,0,0,0,1,6,19,9,28,0,0,0
