short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,0,0,0,0,0,2,2,1,1,0,0,0
6,翁梓勻,攔中,3,5,1,1,14,0,0,1,1,0,0,5
7,林書荷,長攻,17,35,1,1,9,7,20,5,13,0,0,19
9,甘可慧,攔中,9,19,4,0,8,0,0,2,3,0,0,13
10,POLINA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,BIA,對角,11,27,2,1,13,0,0,4,10,0,0,14
12,廖苡任,舉球,1,4,1,0,8,0,0,8,12,41,79,2
23,陳莉鎔,舉球,0,0,0,0,2,0,0,0,0,1,4,0
24,王育文,攔中,2,3,0,0,2,0,0,0,0,0,0,2
69,陳潔,對角,0,3,0,0,0,0,0,0,0,0,0,0
77,吳芳妤,長攻,2,16,0,0,16,10,24,0,9,0,0,2
79,丁佩瑩,自由,0,0,0,0,0,0,0,4,13,0,0,0
88,陳佳蔓,舉球,0,0,0,0,1,0,0,0,0,0,1,0
99,邱詩晴,自由,0,0,0,0,0,3,12,6,12,0,0,0
2,欒妤雯,舉球,0,1,0,0,10,0,0,3,11,13,65,0
5,陳怡如,攔中,3,6,0,0,11,2,2,2,7,0,0,3
6,高歆媛,長攻,0,0,0,0,0,0,0,0,0,0,0,0
7,楊怡真,舉球,1,1,1,0,4,0,0,1,6,13,33,2
9,蔡幼群,長攻,10,34,1,1,9,3,9,6,13,0,0,12
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,4,25,1,0,10,1,1,5,14,0,0,5
13,SANTOS,長攻,12,36,0,0,12,15,43,5,12,0,0,12
14,葉亮言,攔中,0,0,0,0,0,0,0,0,0,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,0,0,0,0,0,0,0,0,0,0,0,0
18,BLANCO,攔中,6,13,0,0,7,0,0,1,6,0,0,6
20,詹佳茵,自由,0,0,0,0,0,0,0,0,0,0,0,0
22,李怡萱,自由,0,0,0,0,0,7,14,10,21,0,0,0
