short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,2,5,0,0,1,2,3,0,0,0,0,2
6,翁梓勻,攔中,3,11,2,1,26,0,1,2,7,0,0,6
7,林書荷,長攻,20,59,2,0,18,17,33,13,26,0,0,22
9,甘可慧,攔中,8,34,2,0,11,1,2,3,6,0,0,10
10,POLINA,長攻,1,6,0,0,2,0,0,1,2,0,0,1
11,BIA,對角,25,59,1,2,18,1,1,12,25,0,0,28
12,廖苡任,舉球,0,4,0,0,12,0,0,10,25,56,158,0
23,陳莉鎔,舉球,0,0,0,0,0,0,0,0,0,0,0,0
24,王育文,攔中,0,2,0,0,0,0,0,1,1,0,0,0
69,陳潔,對角,0,0,0,0,1,0,0,0,0,0,0,0
77,吳芳妤,長攻,7,31,0,0,17,27,45,13,19,0,0,7
79,丁佩瑩,自由,0,0,0,0,0,2,6,9,17,0,0,0
88,陳佳蔓,舉球,0,0,0,0,0,0,0,1,1,3,8,0
99,邱詩晴,自由,0,0,0,0,0,6,16,11,15,0,0,0
2,欒妤雯,舉球,0,0,0,1,7,0,0,0,0,1,2,1
5,陳怡如,攔中,2,7,2,2,21,1,1,4,6,0,0,6
6,高歆媛,長攻,0,0,0,0,0,0,0,0,0,0,0,0
7,楊怡真,舉球,0,0,1,1,20,0,0,13,24,45,153,2
9,蔡幼群,長攻,10,34,1,0,24,4,7,13,24,0,0,11
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,1,10,1,0,5,0,0,7,12,0,0,2
13,SANTOS,長攻,28,62,3,1,16,28,63,12,23,0,0,32
14,葉亮言,攔中,0,0,0,0,0,0,0,0,0,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,16,51,1,0,10,0,5,8,14,0,0,17
18,BLANCO,攔中,10,29,7,0,11,0,0,0,6,0,0,17
20,詹佳茵,自由,0,0,0,0,0,0,0,0,0,0,0,0
22,李怡萱,自由,0,0,0,0,0,16,23,27,38,0,0,0
